phase,param,opt,min,max,model,pm
TO,to_v_lof,87.0,74.4,99.5,norm,86.9|8.7
TO,to_d_tof,1.81,0.94,2.68,norm,1.81|0.37
TO,to_acc_tof,1.79,1.33,2.25,norm,1.79|0.28
IC,ic_va_avg,77,62,93,norm,77|10
IC,ic_vh_avg,11.20,5.76,16.64,norm,11.20|3.31
CL,cl_d_range,226,160,348,gamma,12|94|11
CL,cl_v_cas_const,143,125,161,norm,143|12
CL,cl_v_mach_const,0.75,0.65,0.84,norm,0.75|0.07
CL,cl_h_cas_const,4.4,1.6,7.1,norm,4.4|1.4
CL,cl_h_mach_const,8.5,6.0,10.2,beta,3258757.4|21.4|-764889.5|764902.9
CL,cl_vh_avg_pre_cas,10.64,7.25,14.03,norm,10.64|2.06
CL,cl_vh_avg_cas_const,9.27,6.10,12.43,norm,9.27|1.93
CL,cl_vh_avg_mach_const,5.13,3.15,7.10,norm,5.12|1.20
CR,cr_d_range,786,448,2380,gamma,2|368|260
CR,cr_v_cas_mean,131,110,152,norm,131|14
CR,cr_v_cas_max,139,119,165,beta,73|6488|2|12420
CR,cr_v_mach_mean,0.78,0.67,0.88,norm,0.78|0.07
CR,cr_v_mach_max,0.83,0.71,0.94,norm,0.83|0.08
CR,cr_h_mean,11.0,10.0,12.1,norm,11.0|0.6
CR,cr_h_max,11.2,10.2,12.1,norm,11.2|0.6
DE,de_d_range,242,173,428,beta,3|13|153|620
DE,de_v_mach_const,0.75,0.65,0.86,norm,0.75|0.07
DE,de_v_cas_const,147,129,165,norm,147|12
DE,de_h_mach_const,8.9,6.8,11.0,norm,8.9|1.3
DE,de_h_cas_const,5.0,2.2,8.2,beta,3.5|4.0|0.2|10.6
DE,de_vh_avg_mach_const,-6.90,-11.84,-1.93,norm,-6.88|3.01
DE,de_vh_avg_cas_const,-9.19,-13.60,-4.79,norm,-9.19|2.68
DE,de_vh_avg_after_cas,-5.77,-7.95,-3.59,norm,-5.77|1.33
FA,fa_va_avg,68,56,79,norm,68|7
FA,fa_vh_avg,-3.57,-4.43,-2.71,norm,-3.57|0.52
LD,ld_v_app,64.7,51.0,78.4,norm,64.7|9.5
LD,ld_d_brk,1.90,0.44,4.44,gamma,15.86|-1.31|0.22
LD,ld_acc_brk,-0.94,-1.84,-0.42,beta,96727009.91|12.97|-11680119.96|11680120.47
